title,author,language,genre,archive_link,identifier,cover_url,download_url
Dogra Rulers of Jammu and Kashmir,Sat Parkash Suri,English,History,https://archive.org/details/burzahom-dogra-rulers-of-jammu-and-kashmir,burzahom-dogra-rulers-of-jammu-and-kashmir,https://archive.org/services/img/burzahom-dogra-rulers-of-jammu-and-kashmir,https://archive.org/download/burzahom-dogra-rulers-of-jammu-and-kashmir/burzahom-dogra-rulers-of-jammu-and-kashmir.pdf
Emergence of Political Awakening in Kashmir,U.K. Zutshi,English,History,https://archive.org/details/burzahom-emergence-of-political-awakening-in-kashmir,burzahom-emergence-of-political-awakening-in-kashmir,https://archive.org/services/img/burzahom-emergence-of-political-awakening-in-kashmir,https://archive.org/download/burzahom-emergence-of-political-awakening-in-kashmir/burzahom-emergence-of-political-awakening-in-kashmir.pdf
Hindu Kashmir,F.M. Hassnain,English,History,https://archive.org/details/burzahom-hindu-kashmir,burzahom-hindu-kashmir,https://archive.org/services/img/burzahom-hindu-kashmir,https://archive.org/download/burzahom-hindu-kashmir/burzahom-hindu-kashmir.pdf
History of Jammu,J. Hutchison & J. Ph. Vogel,English,History,https://archive.org/details/burzahom-history-of-jammu,burzahom-history-of-jammu,https://archive.org/services/img/burzahom-history-of-jammu,https://archive.org/download/burzahom-history-of-jammu/burzahom-history-of-jammu.pdf
"India, Pakistan and the Secret Jihad",Praveen Swami,English,Politics & Law,https://archive.org/details/burzahom-india-pakistan-and-the-secret-jihad,burzahom-india-pakistan-and-the-secret-jihad,https://archive.org/services/img/burzahom-india-pakistan-and-the-secret-jihad,https://archive.org/download/burzahom-india-pakistan-and-the-secret-jihad/burzahom-india-pakistan-and-the-secret-jihad.pdf
Jammu - Kashmir - Ladakh,Parvez Dewan,English,Travelogue,https://archive.org/details/burzahom-jammu--kashmir--ladakh,burzahom-jammu--kashmir--ladakh,https://archive.org/services/img/burzahom-jammu--kashmir--ladakh,https://archive.org/download/burzahom-jammu--kashmir--ladakh/burzahom-jammu--kashmir--ladakh.pdf
Jammu and Kashmir,Jyoti Bhusan Das Gupta,English,Politics & Law,https://archive.org/details/burzahom-jammu-and-kashmir,burzahom-jammu-and-kashmir,https://archive.org/services/img/burzahom-jammu-and-kashmir,https://archive.org/download/burzahom-jammu-and-kashmir/burzahom-jammu-and-kashmir.pdf
Kashmir,Chiragh Hasan Hasrat,Urdu,Poetry & Literature,https://archive.org/details/burzahom-kashmir,burzahom-kashmir,https://archive.org/services/img/burzahom-kashmir,https://archive.org/download/burzahom-kashmir/burzahom-kashmir.pdf
Kashmir Conflict as War Journalism,Lee & Maslog,English,Journalism & Media,https://archive.org/details/burzahom-kashmir-conflict-as-war-journalism,burzahom-kashmir-conflict-as-war-journalism,https://archive.org/services/img/burzahom-kashmir-conflict-as-war-journalism,https://archive.org/download/burzahom-kashmir-conflict-as-war-journalism/burzahom-kashmir-conflict-as-war-journalism.pdf
Kashmir Conspiracy Case,Sheikh Abdullah,English,Politics & Law,https://archive.org/details/burzahom-kashmir-conspiracy-case,burzahom-kashmir-conspiracy-case,https://archive.org/services/img/burzahom-kashmir-conspiracy-case,https://archive.org/download/burzahom-kashmir-conspiracy-case/burzahom-kashmir-conspiracy-case.pdf
Kashmir First,Mohammad Ashraf,English,Politics & Law,https://archive.org/details/burzahom-kashmir-first,burzahom-kashmir-first,https://archive.org/services/img/burzahom-kashmir-first,https://archive.org/download/burzahom-kashmir-first/burzahom-kashmir-first.pdf
Kashmir in Comparative Perspective,Sten Widmalm,English,Politics & Law,https://archive.org/details/burzahom-kashmir-in-comparative-perspective,burzahom-kashmir-in-comparative-perspective,https://archive.org/services/img/burzahom-kashmir-in-comparative-perspective,https://archive.org/download/burzahom-kashmir-in-comparative-perspective/burzahom-kashmir-in-comparative-perspective.pdf
Kashmir in Flames,Sanaullah Bhat,English,Politics & Law,https://archive.org/details/burzahom-kashmir-in-flames,burzahom-kashmir-in-flames,https://archive.org/services/img/burzahom-kashmir-in-flames,https://archive.org/download/burzahom-kashmir-in-flames/burzahom-kashmir-in-flames.pdf
Kashmir On Trial,Sheikh Abdullah,English,Politics & Law,https://archive.org/details/burzahom-kashmir-on-trial,burzahom-kashmir-on-trial,https://archive.org/services/img/burzahom-kashmir-on-trial,https://archive.org/download/burzahom-kashmir-on-trial/burzahom-kashmir-on-trial.pdf
Kashmir: Towards Insurgency,Balraj Puri,English,Politics & Law,https://archive.org/details/burzahom-kashmir-towards-insurgency,burzahom-kashmir-towards-insurgency,https://archive.org/services/img/burzahom-kashmir-towards-insurgency,https://archive.org/download/burzahom-kashmir-towards-insurgency/burzahom-kashmir-towards-insurgency.pdf
"Kashmir, 1947: Rival Versions of History",Prem Shankar Jha,English,History,https://archive.org/details/burzahom-kashmir-1947-rival-versions-of-history,burzahom-kashmir-1947-rival-versions-of-history,https://archive.org/services/img/burzahom-kashmir-1947-rival-versions-of-history,https://archive.org/download/burzahom-kashmir-1947-rival-versions-of-history/burzahom-kashmir-1947-rival-versions-of-history.pdf
Living Uncertainties,Muhammed,English,Academic & Research,https://archive.org/details/burzahom-living-uncertainties,burzahom-living-uncertainties,https://archive.org/services/img/burzahom-living-uncertainties,https://archive.org/download/burzahom-living-uncertainties/burzahom-living-uncertainties.pdf
Death and Sheikh Abdullah,Mukerji,English,History,https://archive.org/details/burzahom-death-and-sheikh-abdullah,burzahom-death-and-sheikh-abdullah,https://archive.org/services/img/burzahom-death-and-sheikh-abdullah,https://archive.org/download/burzahom-death-and-sheikh-abdullah/burzahom-death-and-sheikh-abdullah.pdf
