No.,Title,Author,Genre,Language,archive_link,cover_url,download_url
196,Beautiful Valleys of Kashmir,Tyndale-Biscoe,Travelogue,English,,,
197,Beautiful Prison: Geopolitics of Everyday Life in Kashmir,Yogesh Snehi,Academic & Research,English,,,
198,Begar or Forced Labour During Maharaja Rule,Lone,History,English,,,
199,"State, Identity and Violence: Jammu, Kashmir and Ladakh",Navnita Chadha Behera,Politics & Law,English,,,
200,Behind The Iron Curtain in Kashmir,Unknown,Journalism & Media,English,,,
201,"Behold, I Shine: Narratives of Kashmir's Women and Children",Freny Manecksha,Human Rights & Conflict,English,,,
202,Being the Other: The Muslim in India,Saeed Naqvi,Politics & Law,English,,,
203,Best & Easiest Solution of the Kashmir Issue,Team JKLF,Politics & Law,English,,,
204,Between Democracy and Nations: Gender and Militarisation in Kashmir,Unknown,Academic & Research,English,https://archive.org/details/burzahom-between-democracy-and-nations-gender-and-militarisation-in-kashmir,https://archive.org/services/img/burzahom-between-democracy-and-nations-gender-and-militarisation-in-kashmir,https://archive.org/download/burzahom-between-democracy-and-nations-gender-and-militarisation-in-kashmir/burzahom-between-democracy-and-nations-gender-and-militarisation-in-kashmir.pdf
205,Beyond the Pir Panjal,Dr. Ernest Neve,Biography/Memoir,English,https://archive.org/details/burzahom-beyond-the-pir-panjal,https://archive.org/services/img/burzahom-beyond-the-pir-panjal,https://archive.org/download/burzahom-beyond-the-pir-panjal/burzahom-beyond-the-pir-panjal.pdf
206,Kashmir: Histories of a Shared Past,Chitralekha Zutshi & Junaid Kanjwal (eds),History,English,,,
207,Bhand Pather (Traditional Kashmiri Theatre),Moti Lal Kemmu,"Art, Culture & Archaeology",Kashmiri/English,,,
208,Bi-Annual Review 2024,Unknown (Human Rights Organization),Human Rights & Conflict,English,,,
209,Birds of Kashmir,Unknown,Natural Sciences,English,https://archive.org/details/burzahom-birds-of-kashmir,https://archive.org/services/img/burzahom-birds-of-kashmir,https://archive.org/download/burzahom-birds-of-kashmir/burzahom-birds-of-kashmir.pdf
210,Birth of a Tragedy: Kashmir 1947,Alastair Lamb,History,English,,,
211,Biscoe in Kashmir,Shafi Ahmad Qadri,Biography/Memoir,English,,,
212,Biyaz-e-Rahman Dar (Notebook/Manuscript),Rahman Dar,History,Persian/Kashmiri,,,
213,Biyaz-e-Wahab Khar (Notebook/Manuscript),Wahab Khar,History,Persian/Kashmiri,,,
214,"Biyeh Sui Paan (This Side, That Side - Kashmiri Poetry)",Amin Kamil,Poetry & Literature,Kashmiri,,,
215,Black Warrant: Confessions of a Tihar Jailer,Sunetra Choudhury,Biography/Memoir,English,,,
216,Blinding Kashmiris (Report on Pellet Gun Victims),Unknown,Human Rights & Conflict,English,,,
217,Bol Anmol: Kalam Sheikh-ul-Alam (Precious Words of Sheikh Noor-ud-Din),Naeem Karnahi,Poetry & Literature,Pahari/Kashmiri,,,
218,Nasabnama Hazrat Gaus-ul-Azeem Syed Ahmad Shah Qadri,Unknown,Religion & Philosophy,Urdu/Persian,,,
219,Challenge in Kashmir,Sisir K. Bose,History,English,,,
220,The Struggle for Kashmir,Michael Brecher,Politics & Law,English,,,
221,Breeding Birds of Kashmir (1952),Unknown,Natural Sciences,English,,,
222,"Historical Title, Self-Determination and the Kashmir Question",Fozia Nazir Lone,Politics & Law,English,,,
223,British Paramountcy in Kashmir from 1876-1894,Madhavi Yasin,History,English,,,
